State-County FIPS,Active Loans,Average Borrower Gross Income,Very Low Income,Low Income,Moderate Income,Average Debt Ratio,"American Indian/
Alaskan Native",Asian,"Black/
African-America",Hawaiian/Pacific Islander,White,Hispanic,Married,Average No of Depend,Average Hshld Size,First Time Home Buyer,Average Borrower Age,Disability,PUD,Condo,Coop,Unknown  HSG Proj Type,Detached Structure,Attached Structure,Unknown Stucture,Manufactured Homes,Average Living Area (Square Ft),Average Request Amount,Average Loan Amount,Average LTV,Average Appraised Value
51678,15,"53,878.40",0,1,14,0.34,0,0,2,0,13,0,5,0.7,1.9,13,37,0,0,0,0,0,15,0,0,0,"1,398","140,039.87","140,039.87",0.94,"149,030.00"
51680,5,"50,728.80",0,2,3,0.37,0,0,0,0,5,0,4,1.2,3.4,3,36,0,1,0,0,0,4,1,0,0,"1,315","166,192.80","166,192.80",1.01,"163,680.00"
51683,1,"60,110.00",0,1,0,0.41,0,0,0,0,1,0,0,2,4,1,48,0,1,0,0,0,1,0,0,0,"1,879","226,665.00","226,665.00",0.98,"232,000.00"
51690,43,"48,251.35",1,8,34,0.35,0,0,14,1,28,0,19,0.6,2,42,41,1,1,0,0,0,42,1,0,1,"1,558","103,578.77","103,578.77",0.95,"108,960.47"
51700,1,"62,676.00",0,0,1,0.41,0,0,0,0,1,0,1,0,2,1,24,0,0,0,0,0,1,0,0,0,"1,592","190,714.00","190,714.00",0.98,"195,000.00"
51720,5,"39,647.80",0,1,4,0.27,0,0,1,0,4,0,2,0.6,1.8,5,48,0,0,0,0,1,4,0,1,0,"1,519","108,904.40","108,904.40",0.99,"109,100.00"
51730,3,"41,676.00",0,1,2,0.28,0,0,1,0,2,0,0,0.7,1.7,3,38,0,0,0,0,0,3,0,0,0,"1,177","98,309.00","98,309.00",0.96,"103,000.00"
51750,156,"47,979.30",8,74,74,0.35,0,0,5,1,150,1,63,0.4,1.8,128,37,0,5,0,0,0,147,9,0,0,"1,286","124,868.04","124,869.48",0.99,"125,874.14"
51775,13,"53,490.46",0,1,12,0.34,0,0,0,0,13,0,1,0.5,1.7,13,36,0,1,0,0,0,13,0,0,0,"1,369","153,347.08","153,347.08",0.97,"157,538.46"
51790,1,"37,440.00",0,1,0,0.31,0,0,0,0,1,0,1,0,2,1,63,0,0,0,0,0,1,0,0,0,"1,236","163,163.00","163,163.00",1.02,"160,000.00"
51800,7,0,0,0,0,0,0,0,4,0,3,0,2,0,0,0,,0,0,0,0,7,0,0,7,0,0,0,"76,678.57",0,0
51810,2,"71,400.00",0,1,1,0.33,0,0,1,0,1,0,1,0.5,2,1,31,0,0,0,0,0,2,0,0,0,"1,301","138,263.00","138,263.00",1.02,"135,500.00"
51820,352,"46,717.20",19,121,212,0.37,2,4,24,0,323,24,130,0.7,1.9,300,38,1,2,0,0,7,340,5,7,0,"1,309","130,783.10","130,776.84",0.97,"133,405.94"
51830,2,"65,894.00",0,1,1,0.35,0,0,1,0,1,0,1,0.5,2.5,2,26,0,1,0,0,0,1,1,0,0,"1,580","222,287.00","222,287.00",1.01,"220,500.00"
51840,6,"50,252.50",0,4,2,0.35,0,0,0,0,6,0,2,1.3,2.5,5,31,0,4,0,0,0,2,4,0,0,"1,869","205,724.00","205,724.00",1,"206,750.00"
53001,196,"52,703.13",10,40,146,0.38,1,1,0,0,194,113,93,1.4,3,179,37,0,9,0,1,0,196,0,0,0,"1,412","142,733.37","142,847.23",1.01,"141,351.86"
53003,60,"53,106.00",1,12,47,0.37,2,0,1,0,57,1,21,0.9,2.4,50,37,0,0,1,0,0,60,0,0,0,"1,114","143,442.93","143,442.93",1,"143,495.00"
53005,146,"56,807.92",4,22,119,0.38,1,0,0,0,145,36,80,1.2,2.8,122,35,0,5,0,0,1,145,0,1,0,"1,399","154,240.54","153,783.45",1,"155,431.23"
53007,259,"60,989.27",7,21,231,0.39,3,3,0,2,251,57,144,1,2.8,224,38,2,56,2,0,5,252,2,5,0,"1,388","198,346.07","198,460.94",1,"199,106.40"
53009,536,"53,350.66",10,84,439,0.36,9,9,3,3,517,11,237,0.8,2.3,467,40,7,32,4,0,10,523,3,10,1,"1,355","161,780.17","161,371.52",0.98,"165,528.63"
53011,"1,173","66,294.50",13,110,"1,020",0.37,9,9,5,5,"1,149",27,710,1.1,2.8,927,38,8,180,3,0,34,"1,112",27,34,0,"1,666","215,910.08","213,353.51",1,"216,171.27"
53013,27,"59,867.19",0,4,23,0.35,0,0,0,0,27,1,15,2.3,3.9,21,40,1,0,0,0,0,27,0,0,0,"1,472","146,947.07","147,045.75",0.99,"148,279.63"
53015,534,"58,971.27",7,58,468,0.37,8,0,2,1,529,15,280,1.1,2.8,451,38,1,38,0,0,2,527,5,2,0,"1,613","179,068.53","178,766.91",0.99,"181,031.17"
53017,139,"61,315.07",1,16,121,0.38,3,1,0,1,136,26,67,1,2.7,120,38,1,31,1,0,1,138,0,1,0,"1,378","189,885.04","189,300.25",1,"189,118.48"
53019,13,"51,312.69",0,2,11,0.35,0,0,0,0,13,0,9,0.9,2.2,10,39,1,0,0,0,2,11,0,2,0,"1,590","143,212.85","143,212.85",1,"143,913.85"
53021,696,"57,698.97",5,78,613,0.38,6,7,12,2,671,187,308,0.9,2.5,595,36,0,118,1,0,0,686,10,0,0,"1,641","171,222.99","171,163.92",1.01,"169,961.65"
53023,9,"49,569.33",1,1,7,0.34,0,0,0,0,9,0,5,0.6,2.3,9,40,0,0,0,0,1,8,0,1,0,"1,300","96,030.44","96,030.44",0.99,"96,111.11"
53025,"1,023","53,190.04",30,169,816,0.37,9,5,6,2,"1,004",300,510,1.2,2.7,891,37,2,31,0,0,26,990,7,26,0,"1,433","145,727.75","145,222.82",1,"144,635.55"
53027,301,"53,083.26",6,41,253,0.36,7,2,0,1,293,16,117,0.8,2.3,259,40,1,14,0,0,4,297,0,4,0,"1,499","141,877.46","141,641.96",0.98,"144,638.31"
53029,413,"63,497.84",7,44,354,0.37,1,10,2,4,400,14,192,0.8,2.3,340,41,1,123,28,0,14,371,28,14,0,"1,343","197,783.27","196,354.02",0.99,"199,598.54"
53031,92,"54,425.26",2,12,78,0.37,0,0,0,1,91,2,38,0.8,2.3,86,42,1,20,0,0,1,91,0,1,0,"1,371","185,346.42","185,393.86",0.98,"189,847.28"
53033,486,"74,088.43",2,35,442,0.38,3,7,6,2,471,14,247,1,2.6,420,38,0,141,25,0,7,460,19,7,0,"1,553","248,836.06","247,176.17",1,"247,685.11"
53035,"1,464","63,044.80",25,160,"1,276",0.37,11,38,22,37,"1,373",51,639,0.8,2.4,"1,228",37,7,399,33,0,4,"1,381",79,4,2,"1,419","202,404.50","202,270.24",0.99,"202,814.36"
53037,278,"55,069.49",7,45,226,0.38,0,0,1,1,277,15,124,0.9,2.3,239,37,2,25,3,0,7,264,7,7,0,"1,443","174,962.46","175,069.56",1,"175,460.80"
53039,74,"57,768.08",0,14,60,0.36,3,1,0,0,71,5,40,0.8,2.6,68,41,1,0,0,0,1,73,0,1,0,"1,366","154,411.08","154,411.08",1,"155,280.00"
53041,603,"51,721.76",14,99,485,0.37,9,4,1,4,585,38,271,1,2.5,540,39,11,34,0,0,7,593,3,7,1,"1,490","148,864.77","148,416.33",0.98,"151,881.23"
53043,47,"45,902.58",3,13,28,0.35,0,0,0,0,47,2,30,1.1,2.9,32,40,0,0,0,0,4,43,0,4,0,"1,387","104,091.61","100,687.36",0.97,"107,682.27"
53045,527,"51,458.12",9,77,433,0.38,6,7,3,7,511,22,207,0.8,2.2,464,39,5,160,0,0,14,510,3,14,0,"1,376","151,791.00","150,841.02",0.99,"153,433.93"
53047,182,"49,155.98",9,42,127,0.36,4,3,1,0,174,27,106,1.2,2.8,152,40,4,3,0,0,13,167,2,13,0,"1,283","127,027.78","125,932.52",1,"127,343.09"
53049,107,"50,477.57",3,13,90,0.35,0,1,0,0,106,5,39,0.7,2.2,95,45,6,13,0,0,1,106,0,1,1,"1,438","135,739.13","134,989.21",0.99,"137,658.49"
53051,70,"48,681.20",5,13,51,0.35,1,0,0,0,69,2,35,1.3,2.8,56,40,1,1,1,0,2,67,1,2,0,"1,435","140,317.61","139,198.79",0.98,"139,802.17"
53053,"2,374","65,152.00",29,205,"2,131",0.39,34,41,63,40,"2,220",93,"1,048",1,2.5,"2,047",37,10,"1,099",73,0,11,"2,292",71,11,1,"1,691","209,403.95","209,258.36",1,"209,375.14"
53055,10,"72,726.00",0,1,9,0.34,0,0,0,0,10,0,7,1.2,2.5,9,41,0,3,0,0,0,10,0,0,0,"1,499","252,893.50","252,893.50",0.95,"268,150.00"
53057,569,"59,598.01",17,62,487,0.38,4,6,2,5,555,58,264,0.9,2.5,493,38,4,94,14,0,10,543,16,10,0,"1,406","191,094.03","190,669.95",0.99,"192,169.82"
53059,41,"57,432.25",0,5,36,0.35,0,0,0,0,41,2,18,0.6,2.2,34,41,0,2,0,0,0,40,1,0,0,"1,498","175,592.93","175,592.93",0.97,"182,239.27"
53061,"2,530","69,123.66",39,217,"2,212",0.38,17,30,31,18,"2,442",118,"1,195",0.8,2.4,"2,109",38,10,655,314,2,75,"2,314",141,75,1,"1,491","221,334.52","219,268.90",1,"220,663.59"
53063,461,"56,305.88",14,59,386,0.37,2,5,5,2,452,11,254,1.2,2.9,360,39,1,68,13,0,7,439,15,7,0,"1,326","171,565.68","171,564.21",1,"169,984.38"
53065,123,"47,849.77",7,23,89,0.37,1,0,0,0,122,3,67,1.1,2.6,98,40,3,0,0,0,15,108,0,15,0,"1,296","135,367.74","133,257.78",0.98,"138,783.65"
53067,890,"61,109.66",21,129,722,0.38,8,5,14,12,855,43,406,0.8,2.4,757,38,8,318,0,0,31,848,11,31,3,"1,511","183,135.93","181,495.49",0.99,"184,397.61"
53069,21,"51,594.62",2,4,15,0.35,0,0,0,0,21,1,12,1.6,3.2,18,38,1,1,0,0,0,21,0,0,0,"1,699","151,846.90","151,846.90",0.99,"153,209.52"
53071,119,"58,844.52",3,29,87,0.36,1,1,0,0,117,21,67,1.4,3.2,100,38,1,8,0,0,1,117,1,1,0,"1,356","163,575.77","163,575.77",1,"163,376.84"
53073,"1,064","61,637.24",21,116,921,0.37,8,20,7,8,"1,029",77,597,0.9,2.6,911,37,3,259,60,0,23,972,69,23,0,"1,412","205,495.56","205,054.23",1,"205,475.77"
53075,132,"54,785.73",7,18,106,0.36,0,6,1,2,126,2,73,0.9,2.4,114,38,0,11,0,0,5,124,3,5,0,"1,424","154,538.66","153,685.03",0.98,"157,208.02"
53077,835,"55,444.38",16,131,682,0.37,9,3,7,3,812,389,400,1.2,2.9,745,37,5,18,0,0,21,808,6,21,0,"1,492","155,103.78","154,832.25",1,"155,406.09"
54001,34,"44,520.56",1,5,26,0.32,0,0,0,0,34,0,13,0.6,2,25,37,0,0,0,0,5,29,0,5,0,"1,389","88,856.37","85,712.36",0.94,"96,812.50"
54003,"4,020","56,746.30",154,918,"2,911",0.35,10,34,233,10,"3,739",112,"1,447",0.5,2.1,"3,307",37,9,"2,075",4,1,208,"2,946",866,208,0,"1,555","147,966.56","147,248.70",0.98,"150,548.51"
54005,43,"52,863.65",0,4,39,0.33,0,0,1,0,42,1,26,0.8,2.4,34,36,0,0,0,0,1,42,0,1,0,"1,462","99,034.87","98,999.96",1,"99,268.84"
54007,11,"52,661.36",0,3,8,0.34,0,0,0,0,11,0,9,0.5,2.4,11,34,0,0,0,0,0,11,0,0,0,"1,605","96,804.91","96,804.91",0.96,"101,681.82"
54009,145,"45,404.99",8,43,93,0.31,1,0,1,0,143,2,62,0.8,2.3,126,39,1,7,1,0,10,134,1,10,0,"1,270","77,698.71","77,527.09",0.96,"80,611.78"
54011,263,"53,084.56",1,31,229,0.34,0,0,3,0,260,1,129,0.6,2.2,216,37,3,3,1,0,6,254,3,6,0,"1,400","120,272.84","119,714.24",0.98,"122,282.32"
54013,4,"50,616.00",0,1,3,0.32,0,0,0,0,4,0,3,1,3,4,35,0,0,0,0,0,4,0,0,0,"1,567","119,119.75","119,119.75",0.99,"120,875.00"
54015,14,"43,783.71",1,5,8,0.32,0,0,0,0,14,0,10,0.9,2.7,13,38,0,0,0,0,2,12,0,2,0,"1,468","91,105.50","91,105.50",0.96,"94,571.43"
54017,10,"37,382.20",1,2,7,0.37,0,0,0,0,10,0,4,1,2.1,10,48,0,0,0,0,3,6,1,3,0,"1,450","79,430.50","79,430.50",0.95,"84,570.00"
54019,189,"44,249.69",5,36,141,0.32,0,1,1,0,185,3,78,0.5,1.8,151,37,2,2,0,0,28,159,2,28,0,"1,336","82,026.04","80,317.30",0.98,"83,421.16"
54021,10,"52,150.00",0,0,10,0.34,0,0,0,0,10,0,4,0.5,1.8,8,33,0,0,0,0,1,9,0,1,0,"1,402","106,783.20","106,783.20",0.95,"113,050.00"
54023,78,"49,635.25",1,13,64,0.36,0,0,2,0,76,0,35,0.8,2.4,66,39,0,2,0,0,3,74,1,3,0,"1,470","111,894.33","111,887.46",0.96,"116,751.28"
54025,286,"48,032.51",5,32,249,0.35,0,0,10,0,276,2,139,0.7,2.2,249,38,1,2,0,0,8,276,2,8,0,"1,454","110,560.66","110,642.32",0.98,"112,806.29"
54027,176,"52,415.35",6,48,121,0.35,0,0,2,0,174,0,83,0.7,2.3,148,35,4,31,0,0,9,167,0,9,0,"1,382","128,513.33","128,039.33",0.98,"131,704.00"
54029,74,"46,399.18",5,19,49,0.35,0,0,0,0,74,0,32,0.7,2.3,62,41,2,5,0,0,9,65,0,9,0,"1,357","87,209.05","86,648.72",0.97,"87,835.32"
54031,77,"45,253.99",1,14,62,0.35,0,0,1,0,76,2,24,0.6,2,69,39,1,6,0,0,6,70,1,6,0,"1,332","110,572.81","110,506.26",0.96,"114,726.62"
54033,380,"46,434.20",10,53,298,0.34,1,2,1,0,376,3,125,0.4,1.7,317,36,0,3,0,0,53,322,5,53,0,"1,312","98,365.72","95,454.43",0.97,"100,335.89"
54035,176,"50,824.56",1,20,155,0.32,0,0,0,0,176,0,86,0.7,2.2,143,34,5,5,0,0,11,155,10,11,0,"1,424","104,326.73","104,338.11",0.97,"105,943.15"
54037,971,"61,318.98",34,194,736,0.35,3,12,57,1,903,40,345,0.6,2.1,809,38,2,419,0,0,41,745,185,41,0,"1,710","173,417.00","172,852.93",0.99,"176,905.54"
54039,747,"50,175.36",18,117,597,0.34,2,3,24,2,714,10,320,0.6,1.9,635,37,9,25,1,0,70,647,30,70,0,"1,357","104,279.30","103,123.29",0.97,"106,817.48"
54041,47,"43,161.43",1,6,39,0.33,0,0,0,0,47,0,24,0.7,2.1,40,36,0,0,0,0,6,41,0,6,0,"1,375","87,065.10","85,393.45",0.96,"90,424.26"
54043,31,"51,978.57",0,1,29,0.31,0,0,0,0,31,0,14,0.5,1.8,27,37,0,0,0,0,3,27,1,3,0,"1,429","94,184.73","91,985.23",0.98,"96,252.37"
54045,60,"49,150.34",0,8,52,0.34,0,0,0,0,60,1,31,0.6,2.1,53,35,1,1,0,0,4,54,2,4,0,"1,519","96,138.25","96,138.25",0.99,"97,399.00"
54047,16,"38,210.13",1,5,10,0.3,0,0,1,0,15,0,6,1.1,2.6,15,37,0,0,0,0,0,16,0,0,0,"1,659","62,315.63","62,250.76",0.94,"66,937.50"
54049,420,"48,263.12",7,53,358,0.34,1,0,4,0,415,5,149,0.4,1.8,376,35,1,6,0,0,16,394,10,16,0,"1,346","102,272.22","102,000.87",0.98,"104,353.66"
54051,254,"43,701.54",16,80,155,0.32,0,1,0,3,250,7,95,0.7,2.1,218,38,1,27,0,0,34,219,1,34,0,"1,306","81,749.63","81,573.35",0.96,"82,153.49"
54053,102,"48,498.86",0,11,87,0.32,0,1,0,0,101,0,50,0.6,2.2,87,39,0,2,0,0,13,88,1,13,0,"1,442","91,637.91","89,729.91",0.97,"93,854.93"
54055,438,"45,495.87",10,73,353,0.34,0,0,13,1,427,1,212,0.7,2,376,38,3,17,1,0,27,404,7,27,0,"1,496","90,386.21","90,223.36",0.98,"93,548.59"
54057,349,"56,770.16",19,93,229,0.35,0,1,7,0,338,4,147,0.7,2.2,287,36,3,22,0,0,23,324,2,23,0,"1,351","120,651.82","119,429.22",0.97,"123,132.79"
54059,16,"47,680.33",0,1,14,0.35,0,0,1,0,15,0,6,0.4,1.8,14,37,0,0,0,0,2,14,0,2,0,"1,450","82,820.40","81,280.27",1,"82,733.33"
54061,294,"57,455.59",2,14,278,0.36,0,2,2,0,290,6,104,0.5,1.9,248,35,0,126,2,0,0,180,114,0,0,"1,367","155,074.55","155,074.55",0.99,"155,809.79"
54063,87,"47,440.80",0,11,76,0.35,0,0,0,0,87,0,45,0.8,2.3,71,35,2,0,0,0,1,86,0,1,0,"1,420","98,881.68","98,881.68",0.96,"102,857.60"
54065,216,"54,546.80",14,57,144,0.34,0,1,1,0,214,1,93,0.5,2.2,186,39,2,41,0,0,12,202,2,12,0,"1,438","134,711.04","134,593.54",0.95,"141,410.70"
54067,71,"46,497.96",0,10,61,0.32,0,0,0,1,71,0,36,0.9,2.2,57,41,1,0,0,0,3,68,0,3,0,"1,481","94,111.61","94,111.61",0.98,"96,507.04"
54069,60,"45,601.23",6,22,32,0.33,0,0,0,0,60,0,28,0.8,2.5,52,39,0,8,0,0,3,55,2,3,0,"1,392","86,147.92","86,371.06",0.98,"88,243.33"
54071,15,"50,581.93",0,4,11,0.35,0,0,0,0,15,0,11,0.9,2.7,15,35,0,0,0,1,0,15,0,0,0,"1,448","112,384.33","112,450.27",0.96,"119,200.00"
54073,46,"46,094.89",0,11,35,0.32,1,0,0,0,45,0,28,0.8,2.5,38,37,0,0,0,0,4,41,1,4,0,"1,374","89,535.91","89,512.37",0.98,"91,210.87"
54075,27,"48,722.59",0,2,25,0.36,0,0,0,0,27,0,14,0.6,2.2,26,30,0,1,0,0,0,27,0,0,0,"1,571","104,346.96","104,346.96",0.93,"114,448.15"
54077,159,"50,868.36",3,16,139,0.34,0,0,0,0,159,0,58,0.6,2.1,140,37,2,4,0,0,10,149,0,10,0,"1,391","109,177.04","108,740.17",0.98,"111,245.16"
54079,513,"53,352.51",9,60,437,0.35,1,1,6,0,503,4,225,0.7,2.1,408,36,4,40,0,0,25,464,24,25,0,"1,431","128,810.08","127,888.44",0.98,"131,745.90"
54081,446,"46,603.34",13,91,340,0.34,1,3,12,1,430,3,193,0.6,2,372,36,7,2,1,0,26,416,4,26,0,"1,300","98,235.36","97,961.06",0.99,"101,226.14"
54083,102,"47,151.12",1,15,85,0.38,0,0,2,0,100,1,43,0.7,2.2,91,38,1,2,0,0,3,99,0,3,0,"1,442","106,123.54","105,710.56",0.98,"108,135.64"
54085,22,"44,432.18",0,2,20,0.33,0,0,0,0,22,0,10,0.6,2.1,17,31,0,0,0,0,2,19,1,2,0,"1,415","83,766.09","83,766.09",0.97,"86,177.27"
54087,77,"43,393.81",2,16,59,0.32,0,0,0,0,77,1,40,0.5,2.1,70,35,0,0,0,0,4,72,1,4,0,"1,310","88,251.92","88,299.56",0.98,"90,129.22"
54089,37,"43,188.97",2,4,30,0.33,0,0,0,0,37,0,16,0.5,1.7,34,35,0,0,0,0,7,30,0,7,0,"1,453","83,155.92","82,080.08",0.96,"87,216.67"
54091,70,"48,583.15",1,5,62,0.39,0,0,1,0,69,0,35,0.6,2.1,62,34,0,0,0,0,7,63,0,7,0,"1,411","101,683.38","99,902.43",0.97,"104,769.00"
54093,15,"47,819.47",1,2,12,0.35,0,0,0,0,15,0,5,0.5,2.1,15,35,0,0,0,0,1,14,0,1,0,"1,520","105,557.00","105,484.54",0.96,"109,846.67"
54095,27,"43,956.78",0,4,23,0.34,0,0,0,0,27,0,11,0.4,1.7,23,35,0,1,0,0,1,25,1,1,0,"1,299","75,818.05","75,835.89",0.97,"78,751.85"
54097,78,"47,972.14",0,7,67,0.34,0,0,0,0,78,0,36,0.6,1.8,65,37,0,2,0,0,12,65,1,12,0,"1,259","99,955.98","97,810.81",0.99,"100,945.00"
54099,151,"49,147.26",4,19,128,0.32,0,0,0,1,150,3,67,0.7,2.2,127,36,2,2,0,0,2,149,0,2,0,"1,454","103,583.26","103,560.33",0.96,"107,301.66"
54101,3,"34,320.00",0,0,2,0.41,0,0,0,0,3,0,1,0,0.7,2,51,0,0,0,0,1,2,0,1,0,"1,250","56,111.00","56,907.33",0.81,"73,250.00"
54103,45,"50,605.93",1,8,36,0.32,1,0,0,0,45,1,20,1.1,2.6,39,38,1,1,0,0,3,42,0,3,0,"1,385","87,403.97","87,403.97",0.98,"88,677.78"
